#Gamma = 1.333333333333333333333333 Rcr = 8. uu1cr = -0.25 rhocr = 0.000421875
#Nx = 16 Rin = 1.9 Rout = 20. R0 = 0 xstart = 0.641853886172394775991036 dx = 0.1471173992113497635902617 istart = -11
# i	myx	myr	rho	uu1	u
-11 -0.902878805546777741706712 0.405400907860854681057329 0.01992363706764627179 -2.061416353460653118 0.01620364615079540247
-10 -0.75576140633542797811645 0.46965288187807652456515 0.01613293922445929509 -1.896864426410914981 0.01222942163253812122
-9 -0.608644007124078214526189 0.54408814874210844086626 0.01307801403031698984 -1.743505980288960605 0.00924365341076847434
-8 -0.461526607912728450935927 0.630320658137610671026238 0.010614558254010081301 -1.6005850868475595623 0.006998266678569119385
-7 -0.314409208701378687345665 0.730220154571586295680267 0.008626737450286323006 -1.4674035347471926167 0.00530782622278139794
-6 -0.167291809490028923755404 0.845952718284761120456476 0.007021553547234743027 -1.3433165954979696149 0.004033656122532738793
-5 -0.020174410278679160165142 0.980027731490421162815928 0.005724327844049917678 -1.2277290843640744666 0.003071995579133733166
-4 0.12694298893267060342512 1.135352288290604972524963 0.004675078549190673537 -1.1200917061585448796 0.002345163561316026481
-3 0.274060388144020367015382 1.315294228017783366433821 0.003825615709874472169 -1.0198976757484637415 0.001794966624143536691
-2 0.421177787355370130605643 1.523755158728394509046788 0.003137211450110505687 -0.9266796020996860785 0.001377779261068005468
-1 0.568295186566719894195905 1.765255054187010822562994 0.002578731560133304262 -0.8400066227689402892 0.0010608714665182454477
0 0.715412585778069657786167 2.04503025862321491428437 0.002125137039523400014 -0.7594817728187889419 0.0008196664812205063606
1 0.862529984989419421376429 2.369147024258556318800353 0.001756282291472430276 -0.6847395680571097028 0.000635692397980204366
2 1.00964738420076918496669 2.744633043391711124321146 0.0014559511801529750804 -0.6154437771002519482 0.0004950514517615939687
3 1.156764783412118948556952 3.179629826998669651234719 0.0012110838054946407081 -0.5512853497962134037 0.0003872756431200826281
4 1.303882182623468712147214 3.683569233811302930407878 0.0010111561880183679262 -0.4919804607938986167 0.0003044707521006963478
5 1.450999581834818475737475 4.26737797748268085323504 0.0008476825464460467077 -0.4372686163951017485 0.000240675699678305059
6 1.598116981046168239327737 4.94371454608501604805421 0.0007138158581792913992 -0.3869107604895401088 0.0001913827735282029479
7 1.745234380257518002917999 5.72724367096956253543432 0.0006040272108562286212 -0.340687302231870037 0.00015317806987378827
8 1.892351779468867766508261 6.63495429618537548448671 0.0005138483176954525386 -0.2983959762335656274 0.0001234718172398163518
9 2.039469178680217530098522 7.68652794285880311242386 0.0004396646696195862069 -0.2598494392909093018 0.0001002959382851081703
10 2.186586577891567293688784 8.90476545562906442585764 0.0003785492855570671095 -0.2248725123479971018 0.00008215194105004364201
11 2.333703977102917057279046 10.31608138410969645069398 0.000328129021362857017 -0.1932990013327748829 0.00006789650911891614469
12 2.480821376314266820869308 11.95107671884847339499961 0.0002864770056965684938 -0.1649680859379861907 0.00005665535254406020166
13 2.627938775525616584459569 13.84520240018719333088232 0.000252026065933903145 -0.1397203595630275843 0.00004775826434428372882
14 2.775056174736966348049831 16.0395279866146790425978 0.0002234990494095667127 -0.1173937363062137729 0.00004069010668082104375
15 2.922173573948316111640093 18.5816321493369560269789 0.0001998527806367347213 -0.09781959513965012221 0.0000350537793217992255
16 3.069290973159665875230354 21.5266343012969990977302 0.0001802330569795054652 -0.08081966722205574848 0.00003054221429437930162
17 3.216408372371015638820616 24.9383897290374349347406 0.00016393859877550473837 -0.06620422999434324958 0.00002691717923463256921
18 3.363525771582365402410878 28.8908741409653802560121 0.00015039225786126274229 -0.05377209146020078169 0.00002399322135598501634
19 3.51064317079371516600114 33.4697876526175752761549 0.00013911807671432876345 -0.04331260390738840997 0.00002162549255663164627
20 3.657760570005064929591401 38.7744129874873992674514 0.00012972301010372933795 -0.03460957704755521946 0.00001970050133185313022
21 3.804877969216414693181663 44.9197681840282195077373 0.00012188230458643671055 -0.02744657154085835237 0.00001812906744156552516
22 3.951995368427764456771925 52.0391004851054320847811 0.00011532770327606796813 -0.02161277675655809965 0.00001684093161618616396
23 4.099112767639114220362187 60.2867754838901319519402 0.00010983781387136805603 -0.01690860508813260826 0.00001578060909581402396
24 4.246230166850463983952448 69.8416241703723735209128 0.00010523014135710187574 -0.01315027873635813114 0.00001490418135502177379
25 4.39334756606181374754271 80.9108204511452959202512 0.00010135442948541766511 -0.010172971537325004023 0.00001417680065274898984
26 4.540464965273163511132972 93.734373217148046587975 0.0000980870655480173938 -0.007832389407785795066 0.00001357074148216002519
