#Gamma = 1.333333333333333333333333 Rcr = 8. uu1cr = -0.25 rhocr = 0.000421875
#Nx = 256 Rin = 1.9 Rout = 20. R0 = 0 xstart = 0.641853886172394775991036 dx = 0.00919483745070936022439136 istart = -11
# i	myx	myr	rho	uu1	u
-11 0.545308092939946493634927 1.725139803902624728831224 0.002658506822010235643 -0.8531342987223048501 0.0011048541726069827799
-10 0.554502930390655853859318 1.741075334011440017430405 0.002626285115407076764 -0.847865130623300896 0.0010870355594963160213
-9 0.563697767841365214083709 1.757158064433687580341737 0.002594479800343426321 -0.8426201083932624381 0.0010695185293585287099
-8 0.572892605292074574308101 1.773389354893965633060578 0.002563085351762120904 -0.8373991386198670467 0.0010522978414071607111
-7 0.582087442742783934532492 1.789770577676974607460591 0.002532096319185779454 -0.8322021283717732343 0.0010353683475498088684
-6 0.591282280193493294756884 1.806303117743537828254933 0.002501507325700671305 -0.8270289851964147373 0.0010187249907291161176
-5 0.600477117644202654981275 1.822988372847693900271136 0.002471313066954494634 -0.821879617117806103 0.0010023628032936888873
-4 0.609671955094912015205666 1.839827753654870706189512 0.002441508310167874565 -0.8167539326343594728 0.0009862769053984001711
-3 0.618866792545621375430058 1.85682268386115100584033 0.002412087893159392847 -0.8116518407167124555 0.0009704625034335455215
-2 0.628061629996330735654449 1.873974600313639720445155 0.002383046723383963559 -0.8065732508055669778 0.0009549148884823289035
-1 0.63725646744704009587884 1.891284953131943078330415 0.00235437977698437185 -0.8015180728095390035 0.0009396294348061648536
0 0.646451304897749456103232 1.908755205830769892644244 0.002326082097855795242 -0.7964862171030190031 0.0009246015983572927286
1 0.655646142348458816327623 1.926386835443665336479065 0.002298148796723129477 -0.7914775945240430628 0.0009098269153182079941
2 0.664840979799168176552014 1.944181332647887676550039 0.002270575050230943339 -0.7864921163721745132 0.0008953010006674245032
3 0.674035817249877536776406 1.962140201890438523211676 0.002243356100045889282 -0.7815296944063959594 0.0008810195467710905507
4 0.683230654700586897000797 1.980264961515257252119687 0.00221648725197139908 -0.7765902408430115914 0.0008669783219999901653
5 0.692425492151296257225188 1.998557143891590351270742 0.002189963875074496025 -0.7716736683535596529 0.0008531731693714696179
6 0.70162032960200561744958 2.01701829554354654648766 0.002163781400824557553 -0.7667798900627349432 0.0008396000052158374863
7 0.710815167052714977673971 2.035649977280848658669897 0.002137935322243864407 -0.7619088195463212263 0.0008262548178667948276
8 0.720010004503424337898363 2.054453764330793247307662 0.002112421193069774723 -0.7570603708291334181 0.0008131336663754600692
9 0.729204841954133698122754 2.073431246471429196871053 0.002087234626928363626 -0.7522344583829694228 0.0008002326792475611431
10 0.738399679404843058347145 2.092584028165966505741879 0.002062371296519371111 -0.7474309971245714847 0.0007875480532033751582
11 0.747594516855552418571537 2.111913728698426641364094 0.002037826932812303143 -0.7426499024135969219 0.0007750760519600035335
12 0.756789354306261778795928 2.131421982310545930257771 0.002013597324253533013 -0.7378910900505981056 0.000762813005035578004
13 0.765984191756971139020319 2.151110438339943557480172 0.001989678315984252122 -0.7331544762750115464 0.000750755306575000265
14 0.775179029207680499244711 2.170980761359565857034656 0.001966065809069121388 -0.7284399777631559472 0.000738899414196825238
15 0.784373866658389859469102 2.191034631318418682633009 0.001942755759735476545 -0.7237475116262390795 0.000727241847860905032
16 0.793568704109099219693493 2.211273743683599757118348 0.001919744178622942589 -0.7190769954083733398 0.00071577918875641763
17 0.802763541559808579917885 2.231699809583643008763246 0.001897027130043314631 -0.7144283470845998375 0.000704508078209911161
18 0.811958379010517940142276 2.252314555953187013580509 0.001874600731250564351 -0.709801485058920866 0.000693425216613001336
19 0.821153216461227300366667 2.2731197256789797747314 0.001852461151720833193 -0.7051963281623406054 0.000682527362369366194
20 0.830348053911936660591059 2.294117077747232183097572 0.001830604612442275339 -0.7006127956509139035 0.000671811330860688788
21 0.83954289136264602081545 2.315308387392332617108082 0.00180902738521461537 -0.6960508072038029783 0.000661273993431204774
22 0.848737728813355381039842 2.336695446246935254991205 0.001787725791958287388 -0.6915102829213418846 0.000650912276390518115
23 0.857932566264064741264233 2.358280062493434788762208 0.001766696204033024181 -0.6869911433231085834 0.000640723160034354208
24 0.867127403714774101488624 2.380064061016840346472381 0.001745935041565766828 -0.6824933093460044515 0.00063070367768292578
25 0.876322241165483461713016 2.402049283559061547541638 0.001725438772787766915 -0.6780167023423410652 0.000620850914736592762
26 0.885517078616192821937407 2.424237588874619735386632 0.00170520391338075527 -0.673561244077934091 0.000611162007748503172
27 0.894711916066902182161798 2.44663085288779755204888 0.001685227025832052879 -0.6691268567302041135 0.0006016341435139077139
28 0.90390675351761154238619 2.469230968851240141132885 0.001665504718798501328 -0.6647134628862842242 0.000592264558175846359
29 0.913101590968320902610581 2.492039847506021388093132 0.0016460336464790918 -0.6603209855411342007 0.0005830505363469107008
30 0.922296428419030262834972 2.515059417243188730771274 0.001626810507996173326 -0.6559493480956610945 0.0005739894102467912129
31 0.931491265869739623059364 2.538291624266800198091546 0.001607832046785122615 -0.6515984743548460494 0.0005650785588553238479
32 0.940686103320448983283755 2.561738432758467460983759 0.001589095049992359389 -0.6472682885258771644 0.0005563154070807555918
33 0.949880940771158343508146 2.585401825043418806930024 0.00157059634788159277 -0.6429587152162882188 0.0005476974249429536823
34 0.959075778221867703732538 2.609283801758096078034242 0.00155233281324818581 -0.638669679432103068 0.0005392221267712882009
35 0.968270615672577063956929 2.63338638201929974220329 0.001534301360841526802 -0.6344011065759855207 0.0005308870704169226548
36 0.977465453123286424181321 2.657711603594896397916777 0.001516498946795297558 -0.630152922445394502 0.0005226898564792519845
37 0.986660290573995784405712 2.682261523076103145159112 0.001498922568065530322 -0.6259250532307443073 0.000514628127546232166
38 0.995855128024705144630103 2.707038216051363388404832 0.0014815692618763464798 -0.6217174255135697463 0.0005066995674483502202
39 1.005049965475414504854495 2.732043777281828772096722 0.0014644361051732716995 -0.6175299662646959752 0.0004989019005259880037
40 1.014244802926123865078886 2.757280320878462084847771 0.0014475202140840235652 -0.6133626028424128122 0.0004912328909099376328
41 1.023439640376833225303277 2.782749980480776105643814 0.0014308187433866692038 -0.6092152629906533275 0.0004836903418148307899
42 1.032634477827542585527669 2.808454909437223503635484 0.0014143288859850518044 -0.6050878748371764977 0.0004762720948452484766
43 1.04182931527825194575206 2.834397280987253042697427 0.0013980478723913863162 -0.6009803668917537108 0.0004689760293142820158
44 1.051024152728961305976451 2.860579288445047482811571 0.0013819729702159259785 -0.5968926680443589036 0.0004618000615743202676
45 1.060218990179670666200843 2.887003145384958712511309 0.0013661014836636026838 -0.5928247075633621142 0.0004547421443598421061
46 1.069413827630380026425234 2.913671085828655790116975 0.0013504307530375455046 -0.5887764150937262245 0.000447800266141997217
47 1.078608665081089386649625 2.940585364434001716311907 0.0013349581542493830269 -0.5847477206552066682 0.0004409724504947622134
48 1.087803502531798746874017 2.967748256685674906765107 0.0013196810983362364256 -0.5807385546405538756 0.0004342567554724629315
49 1.096998339982508107098408 2.995162059087551481013243 0.001304597030984311494 -0.5767488478137182225 0.0004276512729984575658
50 1.1061931774332174673228 3.022829089356864632684091 0.0012897034320589990967 -0.5727785313080572491 0.0004211541282647790302
51 1.115388014883926827547191 3.050751686620157496387961 0.001274997815141394758 -0.568827536624544911 0.0004147634791425385866
52 1.124582852334636187771582 3.078932211611046078235958 0.0012604777270711493192 -0.56489579562998262 0.0004084775156028963805
53 1.133777689785345547995974 3.107373046869808969976917 0.0012461407474955638094 -0.560983240555211832 0.000402294459148408045
54 1.142972527236054908220365 3.136076596944820721191401 0.0012319844884248428606 -0.557089803993327934 0.0003962125622545600009
55 1.152167364686764268444756 3.165045288595845899854416 0.0012180065937934221773 -0.5532154188978951784 0.0003902301078213094778
56 1.161362202137473628669148 3.194281570999211028891539 0.0012042047390272867241 -0.5493600185811624139 0.0003843454086344486215
57 1.170557039588182988893539 3.223787915954871745119389 0.0011905766306171974425 -0.5455235367122793525 0.0003785568068366153268
58 1.17975187703889234911793 3.253566818095392687194137 0.0011771200056977454303 -0.5417059073155131157 0.0003728626734077766577
59 1.188946714489601709342322 3.283620795096857780904623 0.0011638326316321536315 -0.5379070647684647942 0.0003672614076550138685
60 1.198141551940311069566713 3.313952387891728753353333 0.0011507123056027471803 -0.5341269438002857562 0.0003617514367114411504
61 1.207336389391020429791104 3.344564160883669872282704 0.0011377568542070146218 -0.530365479489893434 0.0003563312150440932622
62 1.216531226841729790015496 3.37545870216435707303999 0.0011249641330591833029 -0.5266226072641863157 0.000350999223970620205
63 1.225726064292439150239887 3.406638623732289803445224 0.001112332026397233274 -0.5228982628962578663 0.0003457539711846300269
64 1.234920901743148510464279 3.438106561713624086147854 0.0010998584466952750816 -0.5191923825036090985 0.0003405939902895237309
