Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      8.63     0.00    29785     0.00     0.00  bl_coord_ijk
  0.00      8.63     0.00    29784     0.00     0.00  bl_coord_ijk_2
  0.00      8.63     0.00    29784     0.00     0.00  gcov_func
  0.00      8.63     0.00    29784     0.00     0.00  gdet_func_singcheck
  0.00      8.63     0.00    29784     0.00     0.00  ludcmp
  0.00      8.63     0.00    29768     0.00     0.00  compute_allextras_idealgas
  0.00      8.63     0.00    29768     0.00     0.00  compute_temp
  0.00      8.63     0.00    29768     0.00     0.00  compute_temp_idealgas
  0.00      8.63     0.00    29768     0.00     0.00  debug_content
  0.00      8.63     0.00    29768     0.00     0.00  eosdump_content
  0.00      8.63     0.00    29768     0.00     0.00  fieldline_content
  0.00      8.63     0.00    29768     0.00     0.00  fluxdump_content
  0.00      8.63     0.00    29768     0.00     0.00  get_EOS_parms
  0.00      8.63     0.00    29768     0.00     0.00  get_EOS_parms_idealgas
  0.00      8.63     0.00    29768     0.00     0.00  get_extrasprocessed
  0.00      8.63     0.00    29768     0.00     0.00  get_extrasprocessed_idealgas
  0.00      8.63     0.00    24884     0.00     0.00  bl2met2metp2v
  0.00      8.63     0.00    24884     0.00     0.00  gset
  0.00      8.63     0.00    14900     0.00     0.00  gaussj
  0.00      8.63     0.00    14900     0.00     0.00  matrix_inverse
  0.00      8.63     0.00    14894     0.00     0.00  coord_ijk
  0.00      8.63     0.00    14892     0.00     0.00  gcon_func
  0.00      8.63     0.00    14884     0.00     0.00  assign_eomfunc
  0.00      8.63     0.00    14884     0.00     0.00  coordtrans
  0.00      8.63     0.00    14884     0.00     0.00  gdump_content
  0.00      8.63     0.00    14884     0.00     0.00  get_compdimen
  0.00      8.63     0.00    14884     0.00     0.00  idxdxprim_ijk
  0.00      8.63     0.00    14884     0.00     0.00  init_dsandvels
  0.00      8.63     0.00    14884     0.00     0.00  ucon_calc_3vel
  0.00      8.63     0.00     4895     0.00     0.00  myfprintf
  0.00      8.63     0.00      636     0.00     0.05  integrate
  0.00      8.63     0.00      255     0.00     0.00  bound_prim_user_after_mpi
  0.00      8.63     0.00      168     0.00     0.08  bound_evolveprim
  0.00      8.63     0.00      113     0.00     0.00  getsizeofdatatype
  0.00      8.63     0.00      106     0.00     0.00  error_check
  0.00      8.63     0.00       96     0.00     0.00  image_header
  0.00      8.63     0.00       96     0.00     0.00  logsfprintf
  0.00      8.63     0.00       87     0.00     0.00  pre_fixup
  0.00      8.63     0.00       85     0.00     0.08  bound_prim
  0.00      8.63     0.00       85     0.00     0.00  compute_EOS_parms
  0.00      8.63     0.00       85     0.00     0.00  compute_EOS_parms_idealgas
  0.00      8.63     0.00       84     0.00    85.74  advance
  0.00      8.63     0.00       84     0.00     0.00  bound_pflag
  0.00      8.63     0.00       84     0.00     0.00  bound_pflag_user
  0.00      8.63     0.00       84     0.00     0.00  compute_new_metric_substep
  0.00      8.63     0.00       84     0.00     0.01  flux_point2avg
  0.00      8.63     0.00       84     0.00    43.68  fluxcalc_flux
  0.00      8.63     0.00       84     0.00     0.24  post_fixup
  0.00      8.63     0.00       84     0.00     0.00  preinterp_flux_point2avg
  0.00      8.63     0.00       31     0.00     0.00  mpifmin
  0.00      8.63     0.00       22     0.00     0.91  current_calc
  0.00      8.63     0.00       22     0.00    40.01  diag
  0.00      8.63     0.00       22     0.00     0.00  myfclose
  0.00      8.63     0.00       21     0.00     0.00  control_metric_update
  0.00      8.63     0.00       21     0.00     0.00  myfopen
  0.00      8.63     0.00       21     0.00     0.00  postdt
  0.00      8.63     0.00       21     0.00     0.00  setup_rktimestep
  0.00      8.63     0.00       21     0.00   351.42  step_ch_full
  0.00      8.63     0.00       21     0.00   351.42  step_ch_simplempi
  0.00      8.63     0.00       20     0.00     0.00  mpiisum0
  0.00      8.63     0.00       16     0.00     0.00  dxdxprim_ijk_2
  0.00      8.63     0.00       16     0.00     0.00  gcov2gcovprim
  0.00      8.63     0.00       13     0.00     0.00  dump_header
  0.00      8.63     0.00       10     0.00     0.00  dualfprintf
  0.00      8.63     0.00        8     0.00     0.00  eomfunc_func
  0.00      8.63     0.00        8     0.00     0.00  integratel
  0.00      8.63     0.00        4     0.00     2.81  dump
  0.00      8.63     0.00        4     0.00     2.81  restart_write
  0.00      8.63     0.00        4     0.00     0.01  write_restart_header
  0.00      8.63     0.00        2     0.00     0.08  bound_allprim
  0.00      8.63     0.00        2     0.00     2.81  debugdump
  0.00      8.63     0.00        2     0.00     0.00  divbmaxavg
  0.00      8.63     0.00        2     0.00     0.00  dmatrix
  0.00      8.63     0.00        2     0.00    15.87  dump_ener
  0.00      8.63     0.00        2     0.00     2.81  eosdump
  0.00      8.63     0.00        2     0.00     2.81  fieldlinedump
  0.00      8.63     0.00        2     0.00     2.81  fluxdumpdump
  0.00      8.63     0.00        2     0.00     0.26  recompute_fluxpositions
