#Gamma = 1.333333333333333333333333 Rcr = 8. uu1cr = -0.25 rhocr = 0.000421875
#Nx = 512 Rin = 1.9 Rout = 20. R0 = 0 xstart = 0.641853886172394775991036 dx = 0.004597418725354680112195679 istart = -11
# i	myx	myr	rho	uu1	u
-11 0.593580989556170634812981 1.810460059602251204763148 0.00249392196025342145 -0.8257394178438136921 0.0010146082763477550148
-10 0.598178408281525314925177 1.818802665112885750611385 0.002478824912640844684 -0.8231647352342179731 0.001006427258874937093
-9 0.602775827006879995037373 1.827183713375315307308795 0.002463825564795908839 -0.8205959792237860768 0.0009983156153876460944
-8 0.607373245732234675149568 1.835603381533858120391557 0.00244892326706004011 -0.8180331384043928557 0.000990272741337517365
-7 0.611970664457589355261764 1.844061847549113997496418 0.002434117374171829948 -0.8154762013973933368 0.0009822980375414133403
-6 0.61656808318294403537396 1.852559290201725736303878 0.002419407245236985197 -0.8129251568535551858 0.0009743909101332224854
-5 0.621165501908298715486155 1.861095889096157885152878 0.002404792243698484598 -0.8103799934529913418 0.0009665507705160948308
-4 0.625762920633653395598351 1.869671824664492916196004 0.002390271737306940263 -0.8078406999050928222 0.0009587770353151101253
-3 0.630360339359008075710547 1.878287278170244891332231 0.002375845098091162681 -0.8053072649484616947 0.000951069126330374672
-2 0.634957758084362755822742 1.886942431712190701523999 0.002361511702328927887 -0.8027796773508442182 0.0009434264704905429404
-1 0.639555176809717435934938 1.89563746822821896047681 0.002347270930517945367 -0.8002579259090641493 0.0009358484998067600885
0 0.644152595535072116047134 1.904372571499196634032718 0.002333122167347025358 -0.797741999448956215 0.0009283346513270215647
1 0.648750014260426796159329 1.913147926152853487003926 0.002319064801667444133 -0.7952318868252997506 0.0009208843670909459888
2 0.653347432985781476271525 1.92196371766768442954932 0.00230509822646450594 -0.7927275769217525009 0.0009134970940849575545
3 0.657944851711136156383721 1.93082013237686984557507 0.002291221838829300221 -0.7902290586507845849 0.0009061722841978742204
