#Gamma = 1.3333333333333333 Rcr = 8 uu1cr = -0.25 rhocr = 0.000421875
#Nx = 32 Rin = 1.9 Rout = 20 R0 = 0 xstart = 0.6418538861723947 dx = 0.07355869960567488 istart = -11
# i	myx	myr	rho	uu1	u
-11 -0.1305124596871915 0.8776455576914999 0.006670944548619429 -1.3136453241250712 0.003767364972735237
-10 -0.05695376008151665 0.9446377483291387 0.006023263916306498 -1.255860172051488 0.0032877373214038274
-9 0.016604939524158202 1.0167435677741 0.005440830887497509 -1.2000951435696379 0.0028708349481925697
-8 0.09016363912983316 1.0943533480834517 0.00491695569557661 -1.1462842780932394 0.002508320233885492
-7 0.163722338735508 1.177887216029622 0.004445640845325798 -1.094364464069879 0.0021929753666944294
-6 0.23728103834118286 1.2677973673821246 0.004021511369480774 -1.0442747587037167 0.001918552358521024
-5 0.31083973794685776 1.3645705147891039 0.0036397480496903633 -0.9959567628387543 0.0016796405494366186
-4 0.3843984375525326 1.4687305225098815 0.0032960299917424566 -0.949354421541311 0.0014715537434561096
-3 0.4579571371582075 1.5808412422611537 0.0029864828147897764 -0.9044139190676823 0.0012902324133181062
-2 0.5315158367638824 1.7015095655281955 0.0027076318885778275 -0.8610836888716215 0.0011321589785803154
-1 0.6050745363695572 1.8313887088642105 0.0024563618913577387 -0.8193139647994199 0.0009942853856658711
0 0.6786332359752322 1.9711817499622168 0.002229877975631887 -0.7790571818811801 0.0008739690478704588
1 0.752191935580907 2.121645433641365 0.0020256727845937637 -0.7402678113978463 0.0007689185042095523
2 0.8257506351865819 2.2835942683507175 0.0018414974187175917 -0.7029019850892018 0.0006771466599342217
3 0.8993093347922567 2.457904935366189 0.001675334031388171 -0.66691763141806 0.0005969296282493278
4 0.9728680343979317 2.64552103454905 0.001525371585958567 -0.6322745230622859 0.0005267713231177374
5 1.0464267340036066 2.8474581923563154 0.001389984656811642 -0.598934118970646 0.0004653730861735482
6 1.1199854336092814 3.0648095597543294 0.0012677145436212596 -0.5668593479100226 0.000411607441996205
7 1.1935441332149561 3.298751729797525 0.0011572516592043742 -0.5360146982274059 0.0003644950802947618
8 1.267102832820631 3.5505511069061106 0.001057419758885679 -0.5063663237262563 0.000323184965923437
9 1.340661532426306 3.821570762321656 0.0009671628750164874 -0.4778816383958323 0.00028693756698608056
10 1.414220232031981 4.113277812851354 0.0008855325348240098 -0.4505294291679796 0.0002551098832593437
11 1.4877789316376557 4.427251362844492 0.0008116765168138957 -0.4242798737581286 0.0002271425845324447
12 1.5613376312433307 4.765191052393607 0.0007448291205852205 -0.3991043759873618 0.0002025490071029066
13 1.6348963308490054 5.128926258034488 0.0006843022461889377 -0.37497550383697276 0.00018090554361454965
14 1.7084550304546804 5.520425995751404 0.0006294773692804467 -0.3518669423364257 0.00016184330909959973
15 1.7820137300603553 5.941809579895692 0.0005797984173993732 -0.32975340442573825 0.00014504094548904047
16 1.8555724296660303 6.395358095717885 0.000534765173316328 -0.3086106596692549 0.00013021831640718667
17 1.9291311292717048 6.883526747617902 0.0004939277833378177 -0.288415308669146 0.00011713118288230339
18 2.00268982887738 7.4089581499583455 0.00045688147268789893 -0.26914476841471274 0.00010556646623971106
19 2.0762485284830547 7.974496632388364 0.00042326192683751816 -0.2507771775684807 0.00009533818086312974
20 2.1498072280887297 8.583203637117439 0.0003927411335676947 -0.2332913041425937 0.00008628390138138636
21 2.2233659276944047 9.238374291489473 0.0003650237212217597 -0.2166664049592569 0.00007826171709986884
22 2.2969246273000796 9.943555245569883 0.0003398435561994498 -0.20088215153795047 0.00007114755404747897
23 2.370483326905754 10.702563871306312 0.0003169607815740312 -0.18591849155946125 0.00006483287690903313
24 2.444042026511429 11.519508927194225 0.0002961591530132576 -0.1717555115112558 0.00005922269053864787
25 2.517600726117104 12.398812800311811 0.0002772435538560824 -0.1583733523236413 0.00005423377866378124
26 2.591159425722779 13.345235446127628 0.0002600379384095499 -0.14575201848270736 0.000049793219449132297
27 2.664718125328454 14.363900155674777 0.0002443833123256726 -0.13387129688542038 0.00004583704906847688
28 2.738276824934129 15.460321289577701 0.00023013604138019808 -0.12271060700675632 0.000042309131062395045
29 2.8118355245398035 16.640434129064772 0.00021716621997786123 -0.11224892646252545 0.0000391601443578101
30 2.8853942241454784 17.910627005559952 0.00020535638826013283 -0.1024646299642792 0.000036346746727314044
31 2.9589529237511534 19.27777588278116 0.0001946001693520685 -0.09333546703579117 0.00003383079523646836
32 3.0325116233568283 20.749281578549652 0.00018480121193927305 -0.0848384702755902 0.00003157870683341137
33 3.1060703229625033 22.333109827803845 0.00017587220631709745 -0.07694991734114895 0.000029560892164946675
34 3.1796290225681783 24.03783440369177 0.0001677339795244315 -0.06964533696916436 0.000027751256772938326
35 3.2531877221738528 25.87268353017041 0.00016031459147306475 -0.06289958318125165 0.000026126746107119548
36 3.3267464217795277 27.847589837358413 0.00015354882540027606 -0.05668681375550867 0.0000246670143323585
37 3.4003051213852027 29.97324413006647 0.00014737741812289592 -0.05098064512788328 0.000023354066541911464
38 3.4738638209908776 32.261153260571895 0.00014174641813005634 -0.04575429867890194 0.00002217195792369385
39 3.5474225205965526 34.72370241892133 0.000136606942376571 -0.040980660206670044 0.000021106600131962904
40 3.620981220202227 37.374222177959055 0.00013191446636887747 -0.03663253910202432 0.000020145489355628083
41 3.694539919807902 40.22706065601742 0.0001276285332554948 -0.03268281035486751 0.0000192775405659139
42 3.768098619413577 43.297661187908986 0.00012371238510409588 -0.029104605537039363 0.000018492920157807515
